ID;rodada;data;hora;dia;mandante;visitante;formacao_mandante;formacao_visitante;tecnico_mandante;tecnico_visitante;vencedor;arena;mandante_placar;visitante_placar;mandante_estado;visitante_estado;estado_vencedor
1;1;29/03/2003;16:00;Sabado;Guarani;Vasco;;;;;Guarani;brinco de ouro;4;2;SP;RJ;SP
2;1;29/03/2003;16:00;Sabado;Athletico-PR;Gremio;;;;;Athletico-PR;arena da baixada;2;0;PR;RS;PR
3;1;30/03/2003;16:00;Domingo;Flamengo;Coritiba;;;;;-;maracana;1;1;RJ;PR;-
4;1;30/03/2003;16:00;Domingo;Goias;Paysandu;;;;;-;serra dourada;2;2;GO;PA;-
5;1;30/03/2003;16:00;Domingo;Internacional;Ponte Preta;;;;;-;beira rio;1;1;RS;SP;-
6;1;30/03/2003;16:00;Domingo;Criciuma;Fluminense;;;;;Criciuma;heriberto hulse;2;0;SC;RJ;SC
7;1;30/03/2003;16:00;Domingo;Juventude;Sao Paulo;;;;;-;alfredo jaconi;2;2;RS;SP;-
8;1;30/03/2003;16:00;Domingo;Fortaleza;Bahia;;;;;-;castelao;0;0;CE;BA;-
9;1;30/03/2003;16:00;Domingo;Cruzeiro;Sao Caetano;;;;;-;mineirao;2;2;MG;SP;-
10;1;30/03/2003;16:00;Domingo;Vitoria;Figueirense;;;;;-;barradao;1;1;BA;SC;-
11;1;30/03/2003;18:00;Domingo;Santos;Parana;;;;;-;vila belmiro;2;2;SP;PR;-
12;1;30/03/2003;18:00;Domingo;Corinthians;Atletico-MG;;;;;Atletico-MG;pacaembu;0;3;SP;MG;MG
13;2;05/04/2003;16:00;Sabado;Fluminense;Fortaleza;;;;;-;maracana;1;1;RJ;CE;-
14;2;05/04/2003;16:00;Sabado;Atletico-MG;Santos;;;;;-;mineirao;0;0;MG;SP;-
15;2;05/04/2003;16:00;Sabado;Coritiba;Internacional;;;;;Internacional;couto pereira;0;1;PR;RS;RS
16;2;05/04/2003;18:00;Sabado;Gremio;Guarani;;;;;Gremio;olimpico;3;1;RS;SP;RS
17;2;06/04/2003;16:00;Domingo;Bahia;Flamengo;;;;;Flamengo;fonte nova;1;2;BA;RJ;RJ
18;2;06/04/2003;16:00;Domingo;Figueirense;Corinthians;;;;;-;orlando scarpelli;3;3;SC;SP;-
19;2;06/04/2003;16:00;Domingo;Paysandu;Vitoria;;;;;Vitoria;mangueirao;1;2;PA;BA;BA
20;2;06/04/2003;16:00;Domingo;Ponte Preta;Juventude;;;;;Ponte Preta;moises lucarelli;1;0;SP;RS;SP
21;2;06/04/2003;16:00;Domingo;Parana;Athletico-PR;;;;;Parana;pinheirao;3;0;PR;PR;PR
22;2;06/04/2003;16:00;Domingo;Sao Caetano;Criciuma;;;;;Sao Caetano;anacleto campanella;3;2;SP;SC;SP
23;2;06/04/2003;18:00;Domingo;Sao Paulo;Cruzeiro;;;;;Cruzeiro;morumbi;2;4;SP;MG;MG
24;2;06/04/2003;18:00;Domingo;Vasco;Goias;;;;;Vasco;sao januario;6;4;RJ;GO;RJ
37;3;12/04/2003;16:00;Sabado;Internacional;Bahia;;;;;Internacional;beira rio;2;0;RS;BA;RS
38;3;12/04/2003;16:00;Sabado;Santos;Figueirense;;;;;Santos;vila belmiro;2;0;SP;SC;SP
39;3;12/04/2003;16:00;Sabado;Athletico-PR;Atletico-MG;;;;;Atletico-MG;arena da baixada;1;2;PR;MG;MG
40;3;12/04/2003;18:00;Sabado;Corinthians;Paysandu;;;;;Corinthians;pacaembu;6;1;SP;PA;SP
41;3;13/04/2003;16:00;Domingo;Vitoria;Vasco;;;;;Vitoria;barradao;2;1;BA;RJ;BA
42;3;13/04/2003;16:00;Domingo;Criciuma;Sao Paulo;;;;;-;heriberto hulse;1;1;SC;SP;-
43;3;13/04/2003;16:00;Domingo;Fortaleza;Sao Caetano;;;;;-;presidente vargas;1;1;CE;SP;-
44;3;13/04/2003;16:00;Domingo;Juventude;Coritiba;;;;;Juventude;alfredo jaconi;2;1;RS;PR;RS
45;3;13/04/2003;16:00;Domingo;Guarani;Parana;;;;;Guarani;brinco de ouro;2;0;SP;PR;SP
46;3;13/04/2003;16:00;Domingo;Goias;Gremio;;;;;-;serra dourada;1;1;GO;RS;-
47;3;13/04/2003;18:00;Domingo;Cruzeiro;Ponte Preta;;;;;Cruzeiro;mineirao;3;0;MG;SP;MG
48;3;13/04/2003;18:00;Domingo;Flamengo;Fluminense;;;;;Flamengo;maracana;4;1;RJ;RJ;RJ
25;4;09/04/2003;21:40;Quarta-feira;Paysandu;Santos;;;;;Paysandu;mangueirao;2;1;PA;SP;PA
26;4;16/04/2003;20:30;Quarta-feira;Bahia;Juventude;;;;;Bahia;fonte nova;3;1;BA;RS;BA
27;4;16/04/2003;20:30;Quarta-feira;Gremio;Vitoria;;;;;Gremio;olimpico;2;1;RS;BA;RS
28;4;16/04/2003;20:30;Quarta-feira;Atletico-MG;Guarani;;;;;Atletico-MG;mineirao;3;2;MG;SP;MG
29;4;16/04/2003;20:30;Quarta-feira;Figueirense;Athletico-PR;;;;;-;orlando scarpelli;1;1;SC;PR;-
30;4;16/04/2003;20:30;Quarta-feira;Ponte Preta;Criciuma;;;;;-;moises lucarelli;1;1;SP;SC;-
31;4;16/04/2003;21:40;Quarta-feira;Sao Caetano;Flamengo;;;;;-;anacleto campanella;1;1;SP;RJ;-
32;4;16/04/2003;21:40;Quarta-feira;Vasco;Corinthians;;;;;-;sao januario;2;2;RJ;SP;-
33;4;16/04/2003;21:40;Quarta-feira;Coritiba;Cruzeiro;;;;;Cruzeiro;couto pereira;3;4;PR;MG;MG
34;4;17/04/2003;20:30;Quinta-feira;Fluminense;Internacional;;;;;Fluminense;maracana;3;1;RJ;RS;RJ
35;4;17/04/2003;20:30;Quinta-feira;Sao Paulo;Fortaleza;;;;;Sao Paulo;morumbi;3;1;SP;CE;SP
36;4;17/04/2003;20:30;Quinta-feira;Parana;Goias;;;;;Parana;pinheirao;3;1;PR;GO;PR
49;5;19/04/2003;16:00;Sabado;Bahia;Atletico-MG;;;;;Atletico-MG;fonte nova;2;4;BA;MG;MG
50;5;19/04/2003;16:00;Sabado;Sao Caetano;Gremio;;;;;-;anacleto campanella;1;1;SP;RS;-
51;5;19/04/2003;18:00;Sabado;Flamengo;Santos;;;;;Santos;maracana;0;2;RJ;SP;SP
52;5;20/04/2003;16:00;Domingo;Sao Paulo;Vasco;;;;;Sao Paulo;morumbi;3;1;SP;RJ;SP
53;5;20/04/2003;16:00;Domingo;Internacional;Corinthians;;;;;Internacional;beira rio;2;1;RS;SP;RS
54;5;20/04/2003;16:00;Domingo;Criciuma;Guarani;;;;;Criciuma;heriberto hulse;1;0;SC;SP;SC
55;5;20/04/2003;16:00;Domingo;Juventude;Vitoria;;;;;-;alfredo jaconi;1;1;RS;BA;-
56;5;20/04/2003;16:00;Domingo;Fortaleza;Athletico-PR;;;;;Fortaleza;presidente vargas;1;0;CE;PR;CE
57;5;20/04/2003;16:00;Domingo;Ponte Preta;Paysandu;;;;;-;moises lucarelli;4;4;SP;PA;-
58;5;20/04/2003;18:00;Domingo;Cruzeiro;Goias;;;;;Cruzeiro;mineirao;4;1;MG;GO;MG
59;5;20/04/2003;18:00;Domingo;Fluminense;Parana;;;;;-;maracana;0;0;RJ;PR;-
60;5;21/04/2003;20:30;Segunda-feira;Coritiba;Figueirense;;;;;Coritiba;couto pereira;1;0;PR;SC;PR
61;6;26/04/2003;16:00;Sabado;Atletico-MG;Coritiba;;;;;Coritiba;mineirao;1;2;MG;PR;PR
62;6;26/04/2003;16:00;Sabado;Parana;Bahia;;;;;Parana;pinheirao;3;1;PR;BA;PR
63;6;26/04/2003;16:00;Sabado;Vitoria;Internacional;;;;;Internacional;barradao;0;3;BA;RS;RS
64;6;26/04/2003;18:00;Sabado;Guarani;Cruzeiro;;;;;-;brinco de ouro;1;1;SP;MG;-
65;6;27/04/2003;16:00;Domingo;Corinthians;Flamengo;;;;;-;pacaembu;1;1;SP;RJ;-
66;6;27/04/2003;16:00;Domingo;Goias;Juventude;;;;;Goias;serra dourada;7;0;GO;RS;GO
67;6;27/04/2003;16:00;Domingo;Figueirense;Ponte Preta;;;;;-;orlando scarpelli;0;0;SC;SP;-
68;6;27/04/2003;16:00;Domingo;Santos;Fortaleza;;;;;Santos;vila belmiro;4;0;SP;CE;SP
69;6;27/04/2003;16:00;Domingo;Gremio;Fluminense;;;;;Fluminense;olimpico;0;1;RS;RJ;RJ
70;6;27/04/2003;16:00;Domingo;Athletico-PR;Criciuma;;;;;Athletico-PR;arena da baixada;4;2;PR;SC;PR
71;6;27/04/2003;18:00;Domingo;Paysandu;Sao Paulo;;;;;Paysandu;mangueirao;5;2;PA;SP;PA
72;6;27/04/2003;18:00;Domingo;Vasco;Sao Caetano;;;;;Vasco;sao januario;1;0;RJ;SP;RJ
73;7;03/05/2003;16:00;Sabado;Flamengo;Vitoria;;;;;Flamengo;maracana;2;1;RJ;BA;RJ
74;7;03/05/2003;16:00;Sabado;Bahia;Gremio;;;;;Bahia;fonte nova;2;1;BA;RS;BA
75;7;03/05/2003;18:00;Sabado;Cruzeiro;Athletico-PR;;;;;Cruzeiro;mineirao;5;2;MG;PR;MG
76;7;04/05/2003;16:00;Domingo;Fortaleza;Corinthians;;;;;Corinthians;castelao;1;2;CE;SP;SP
77;7;04/05/2003;16:00;Domingo;Sao Paulo;Figueirense;;;;;Sao Paulo;morumbi;3;2;SP;SC;SP
78;7;04/05/2003;16:00;Domingo;Sao Caetano;Paysandu;;;;;Sao Caetano;anacleto campanella;2;0;SP;PA;SP
79;7;04/05/2003;16:00;Domingo;Internacional;Goias;;;;;Internacional;beira rio;2;1;RS;GO;RS
80;7;04/05/2003;16:00;Domingo;Ponte Preta;Atletico-MG;;;;;Ponte Preta;moises lucarelli;2;1;SP;MG;SP
81;7;04/05/2003;16:00;Domingo;Juventude;Guarani;;;;;-;alfredo jaconi;1;1;RS;SP;-
82;7;04/05/2003;16:00;Domingo;Coritiba;Parana;;;;;Coritiba;couto pereira;2;1;PR;PR;PR
83;7;04/05/2003;18:00;Domingo;Criciuma;Santos;;;;;Santos;heriberto hulse;1;3;SC;SP;SP
84;7;04/05/2003;18:00;Domingo;Fluminense;Vasco;;;;;-;maracana;0;0;RJ;RJ;-
